from_node,to_node,hour,min,max,mean,std,simulated,free_flow,bias,abs_error
158846810,3941755338,3,43.38971141781681,53.88551236749117,48.29617342907283,4.3206924069936745,38.787665455525776,38.78660490061738,-9.508507973547054,9.508507973547054
158846810,3941755338,7,39.16375990939978,53.32027972027972,44.28776677383256,6.229549332327331,38.30894615578326,38.78660490061753,-5.978820618049298,5.978820618049298
158846810,3941755338,8,38.08546255506608,52.95,43.83011915165706,6.4241912613761025,37.97856623626825,38.78660490061753,-5.851552915388808,5.851552915388808
158846810,3941755338,9,39.11945701357466,52.52445464982778,44.177736918620695,5.809313304471279,38.62757498308186,38.7866049006169,-5.5501619355388385,5.5501619355388385
158846810,3941755338,12,39.29727272727273,51.51891891891892,43.35805418536944,5.529471599486995,38.317404734641826,38.78660490061627,-5.040649450727614,5.040649450727614
158846810,3941755338,13,39.3419795221843,51.230459126539756,42.806906574597924,5.652352554937895,38.61729471872648,38.78660490061627,-4.189611855871448,4.189611855871448
158846810,3941755338,16,38.21171270718232,51.28789237668161,43.07022280909044,5.71571794939417,38.617553817818894,38.78660490061627,-4.452668991271544,4.452668991271544
158846810,3941755338,17,38.466740823136824,51.40314606741573,43.278372158761954,5.631922912767012,38.29463034260045,38.78660490061627,-4.983741816161505,4.983741816161505
158846810,3941755338,18,39.3419795221843,51.81064552661382,45.238224820490835,5.202222975871999,38.319190439731926,38.78660490061627,-6.919034380758909,6.919034380758909
158846810,3941755338,21,42.07007299270073,52.28434285714286,46.64141785230011,4.482975833572558,38.787665455528156,38.786604900618805,-7.853752396771952,7.853752396771952
926927919,30309810,3,38.54117647058823,40.26315789473684,39.49690177314945,0.7200238489976855,35.46502109438911,35.464258096502306,-4.031880678760345,4.031880678760345
926927919,30309810,7,35.1,38.49365853658537,36.641078726810434,1.606688060251681,35.465021094388526,35.46425809650144,-1.1760576324219087,1.1760576324219087
926927919,30309810,8,33.54893617021277,37.93846153846154,35.91247870213438,1.849102016284896,34.84640778501026,35.46425809650144,-1.0660709171241223,1.0660709171241223
926927919,30309810,9,33.12605042016806,37.39905213270143,35.599670004414556,1.9625771236662153,35.465021094388526,35.46425809650144,-0.13464891002602997,0.13464891002602997
926927919,30309810,12,31.831578947368424,36.92957746478873,34.468250535546176,2.6360225411066125,35.06599544613611,35.4642580965026,0.5977449105899311,0.5977449105899311
926927919,30309810,13,32.987447698744774,37.279620853080566,34.95892400070143,2.2694690541679092,35.46502109438911,35.4642580965026,0.5060970936876785,0.5060970936876785
926927919,30309810,16,30.592996108949418,37.10377358490566,34.25399512335993,3.2489519629307737,34.73603524229075,35.4642580965026,0.48204011893081855,0.48204011893081855
926927919,30309810,17,32.85,37.10377358490566,35.00080587108741,2.3018028983556156,35.06599544613611,35.4642580965026,0.0651895750486986,0.0651895750486986
926927919,30309810,18,33.74420600858369,39.134328358208954,35.93401483565562,2.5644806868458234,35.46502109438911,35.4642580965026,-0.46899374126650883,0.46899374126650883
926927919,30309810,21,36.91267605633803,39.527638190954775,37.8900785618232,1.133638488193776,35.46502109439375,35.46425809650028,-2.425057467429454,2.425057467429454
254056948,56374093,3,52.47533818938606,70.31505958829902,58.20548622714814,8.337264126323447,50.455029955134044,50.454415765770214,-7.750456272014098,7.750456272014098
254056948,56374093,7,46.60702402957486,69.26446104589114,55.41584038488847,9.79892489880952,50.455029955133796,50.454415765770705,-4.960810429754673,4.960810429754673
254056948,56374093,8,50.22788844621514,65.88913705583757,55.405891776529565,7.242274898437344,50.300418654084176,50.454415765770705,-5.105473122445389,5.105473122445389
254056948,56374093,9,45.43135135135135,63.69067713444554,53.819673430688304,7.683253036486669,50.2880265008414,50.45441576577087,-3.5316469298469073,3.5316469298469073
254056948,56374093,12,49.58584070796461,62.949369544131905,54.306044601240686,5.9775635889145535,50.32267745025044,50.45441576577087,-3.9833671509902473,3.9833671509902473
254056948,56374093,13,50.277966101694915,62.82749273959342,54.364259584734704,5.7591748061267545,50.24399020370021,50.45441576577087,-4.120269381034497,4.120269381034497
254056948,56374093,16,48.96,62.88837209302326,53.99301218058311,6.176031260925842,49.98041505704817,50.45441576577087,-4.012597123534938,4.012597123534938
254056948,56374093,17,46.011678832116786,62.70608695652174,53.845587974416226,7.140070390690295,50.01464323959899,50.45441576577087,-3.830944734817237,3.830944734817237
254056948,56374093,18,46.73660797034291,62.76673114119923,53.79482688162515,6.785120076161865,50.45502995513461,50.454415765772175,-3.3397969264905356,3.3397969264905356
254056948,56374093,21,52.15113122171946,64.00473372781065,56.28908554179457,5.4183160882095045,50.01464323959834,50.45441576577152,-6.274442302196228,6.274442302196228
cluster_33205406_33205407,46574107,3,28.836400404448938,35.304089219330855,32.80063798398953,2.9571791671411787,35.01848777293417,35.77897799230234,2.2178497889446405,2.2178497889446405
cluster_33205406_33205407,46574107,7,21.783098591549297,34.632332563510396,28.390700506657417,5.335522104862058,34.56792783616238,35.77897799230284,6.177227329504966,6.177227329504966
cluster_33205406_33205407,46574107,8,19.721850533807828,34.12013651877133,26.73081980043139,5.911715403281997,35.17133290774773,35.77897799230284,8.440513107316342,8.440513107316342
cluster_33205406_33205407,46574107,9,22.27427652733119,33.66060606060606,27.7087393432326,4.680755777738634,35.46103973580274,35.778977992302124,7.752300392570142,7.752300392570142
cluster_33205406_33205407,46574107,12,23.245973154362417,32.52885032537961,27.204248263365113,3.874579834587525,35.310491861171855,35.77897799230241,8.106243597806742,8.106243597806742
